synthetic_claim_id,batch_index,seed,s_true,n_cells,successes,failures,s_hat,ci_low,ci_high,ci_contains_s_true,tau,true_tau_class,decision,reporting_status
cal_n10_s05_0047,48,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0048,49,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0049,50,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0050,51,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0051,52,42,0.5,10,1,9,0.1,0.017876213095072924,0.40415002679523837,False,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0052,53,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0053,54,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0054,55,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0055,56,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0056,57,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0057,58,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0058,59,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0059,60,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0060,61,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0061,62,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0062,63,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0063,64,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0064,65,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0065,66,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0066,67,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0067,68,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0068,69,42,0.5,10,2,8,0.2,0.056682151454375274,0.5098375284633582,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0069,70,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0070,71,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0071,72,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0072,73,42,0.5,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0073,74,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0074,75,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0075,76,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0076,77,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0077,78,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0078,79,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0079,80,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0080,81,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0081,82,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0082,83,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0083,84,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0084,85,42,0.5,10,2,8,0.2,0.056682151454375274,0.5098375284633582,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0085,86,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0086,87,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0087,88,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0088,89,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0089,90,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0090,91,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0091,92,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0092,93,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0093,94,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0094,95,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0095,96,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0096,97,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0097,98,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0098,99,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0099,100,42,0.5,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0000,101,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0001,102,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0002,103,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0003,104,42,0.7,10,4,6,0.4,0.16818032970623614,0.6873262302663417,False,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0004,105,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0005,106,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0006,107,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0007,108,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0008,109,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0009,110,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0010,111,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0011,112,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0012,113,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0013,114,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0014,115,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0015,116,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0016,117,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0017,118,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0018,119,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0019,120,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0020,121,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0021,122,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0022,123,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0023,124,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0024,125,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0025,126,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0026,127,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0027,128,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0028,129,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0029,130,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0030,131,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0031,132,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0032,133,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0033,134,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0034,135,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0035,136,42,0.7,10,10,0,1.0,0.7224672001371109,1.0,False,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0036,137,42,0.7,10,4,6,0.4,0.16818032970623614,0.6873262302663417,False,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0037,138,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0038,139,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0039,140,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0040,141,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0041,142,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0042,143,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0043,144,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0044,145,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0045,146,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0046,147,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0047,148,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0048,149,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0049,150,42,0.7,10,10,0,1.0,0.7224672001371109,1.0,False,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0050,151,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0051,152,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0052,153,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0053,154,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0054,155,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0055,156,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0056,157,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0057,158,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0058,159,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0059,160,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0060,161,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0061,162,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0062,163,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0063,164,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0064,165,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0065,166,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0066,167,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0067,168,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0068,169,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0069,170,42,0.7,10,4,6,0.4,0.16818032970623614,0.6873262302663417,False,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0070,171,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0071,172,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0072,173,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0073,174,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0074,175,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0075,176,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0076,177,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0077,178,42,0.7,10,3,7,0.3,0.10779126740630104,0.6032218525388545,False,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0078,179,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0079,180,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0080,181,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0081,182,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0082,183,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0083,184,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0084,185,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0085,186,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0086,187,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0087,188,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0088,189,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0089,190,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0090,191,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0091,192,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0092,193,42,0.7,10,9,1,0.9,0.5958499732047616,0.982123786904927,True,0.95,BelowTau,inconclusive,Unresolved
cal_n10_s07_0093,194,42,0.7,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0094,195,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0095,196,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0096,197,42,0.7,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0097,198,42,0.7,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0098,199,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s07_0099,200,42,0.7,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
